drug_id,smiles,score,A,B
D00131,N(C(=S)SSC(=S)N(CC)CC)(CC)CC,,,
D00132,c1cccc(c1)C(=O)c1cccc(c1)C(C(=O)O)C,,,
D00136,C(CCN1CCC(CC1)(c1ccc(cc1)Cl)O)C(=O)c1ccc(cc1)F,,,
D00139,c1(=O)ccc2c(o1)c(c1c(c2)cco1)OC,,,
D00141,c1(c(C)n(c2c1cc(cc2)OC)C(=O)c1ccc(cc1)Cl)CC(=O)O,,,
D00142,c1(nc(c2c(n1)ncc(n2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C)N)N,,,
D00145,c1(Cc2c(nc(nc2)N)N)cc(c(c(c1)OC)OC)OC,,,
D00148,c12c(C(=O)C(=C(C1=O)C/C=C(/CCCC(CCCC(CCCC(C)C)C)C)\C)C)cccc2,,,
D00151,c1c(c(ccc1)C(=O)O)Nc1cccc(c1C)C,,,
D00153,[C@@H]12[C@@]3(C(=CC(=O)C=C3)CC[C@H]1[C@H]1[C@](CC2)(OC(=O)CC1)C)C,,,
D00155,[C@@H]1(C[C@@H]([C@H](O1)CO)O)n1c2N=CNC[C@H](c2nc1)O,,,
D00158,c1(C(=O)c2ccc(cc2)C)n(c(cc1)CC(=O)[O-])C.[Na+].O.O,,,
D00160,C(CC(=O)O)CCCN,,,
D00168,[C@@H]1(n2c(=O)nc(cc2)N)O[C@@H]([C@H]([C@@H]1O)O)CO,,,
D00169,c1(Nc2c(cccc2)C(=O)[O-])c(c(ccc1Cl)C)Cl.[Na+].O,,,
D00183,c12c(c(=O)c(cn1CC)C(=O)O)ccc(n2)C,,,
D00184,C1(N(C(=O)C(N(C(=O)C(N(C(=O)C(N(C(=O)C(NC(=O)C(NC(=O)C(N(C(=O)C(NC(=O)C(N(C(=O)CN(C(=O)C(NC1=O)CC)C)C)CC(C)C)C(C)C)C)CC(C)C)C)C)C)CC(C)C)C)CC(C)C)C)C(C)C)C)C(C(C)C/C=C/C)O,,,
D00185,[C@H]12[C@H]3[C@@H](c4c(CC3)cc(cc4)O)CC[C@@]1([C@H]([C@@H](C2)O)O)C,,,
D00186,c1(c(cc2c(c1)c(=O)c(cn2C1CC1)C(=O)O)N1CCNCC1)F,,,
D00187,C1C/C(=C\C=C/2\C[C@H](CCC2=C)O)/[C@H]2[C@](C1)([C@H](CC2)[C@@H](/C=C/[C@H](C)C(C)C)C)C,,,
D00188,C1C/C(=C\C=C/2\C[C@H](CCC2=C)O)/[C@H]2[C@](C1)([C@H](CC2)[C@@H](CCCC(C)C)C)C,,,
D00196,[C@@]12(c3c(N([C@H]1N(CC2)C)C)ccc(c3)OC(=O)NC)C,,,
D00198,c12[C@@H]3N(CCc1c1c([nH]2)cc(cc1)OC)C[C@@H]1[C@H](C3)[C@@H]([C@H]([C@@H](C1)OC(=O)/C=C/c1cc(c(c(c1)OC)OC)OC)OC)C(=O)OC,,,
D00203,[C@H]12[C@@H]([C@H](C[C@](O1)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]([C@H](/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C2)O[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)C)O)N)O)C)O)C)C)O)O)O)O)O)O)O)C(=O)O,,,
D00208,[C@]12(N(C3=C([C@H]2COC(=O)N)C(=O)C(=C(C3=O)C)N)C[C@H]2[C@@H]1N2)OC,,,
D00216,[C@@H]1([C@@H]([C@H]([C@H](C=C1CO)N[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1C)O[C@@H]1[C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]1[C@H](OC([C@@H]([C@H]1O)O)O)CO)CO)O)O)O)O)O,,,
D00217,c1(ccc(cc1)O)NC(=O)C,,,
D00218,c1(sc(nn1)NC(=O)C)S(=O)(=O)N,,,
D00219,c1c(ccc(c1)S(=O)(=O)NC(=O)NC1CCCCC1)C(=O)C,,,
D00222,n1(c2c(nc1)c(=O)[nH]c(n2)N)COCCO,,,
D00224,c12c(ncnc1O)[nH]nc2,,,
D00225,C1(=NCc2n(-c3c1cc(cc3)Cl)c(nn2)C)c1ccccc1,,,
D00227,c12c(n(c(=O)n(c1=O)C)C)nc[nH]2.C(CN)N.c12c(n(c(=O)n(c1=O)C)C)nc[nH]2,,,
D00231,c1(c2ccncc2)cc(c(=O)[nH]c1)N,,,
D00234,n1(c2c(nc1NC1CCN(CC1)CCc1ccc(cc1)OC)cccc2)Cc1ccc(cc1)F,,,
D00251,C1CC[C@H](N1C(=O)[C@@H](CS)C)C(=O)O,,,
D00252,c12N(c3c(C=Cc1cccc2)cccc3)C(=O)N,,,
D00270,c1ccc2c(c1)N(c1c(S2)ccc(c1)Cl)CCCN(C)C,,,
D00274,C(=O)(NC1C(CN(CC1)CCCOc1ccc(cc1)F)OC)c1c(cc(c(c1)Cl)N)OC,,,
D00279,c1(OC(C(=O)OCC)(C)C)ccc(cc1)Cl,,,
D00283,C1(=Nc2c(Nc3c1cccc3)ccc(c2)Cl)N1CCN(CC1)C,,,
D00285,c1(cc(c(c(c1)OC)OC)OC)Cc1c(nc(nc1)N)N.c1(NS(=O)(=O)c2ccc(cc2)N)noc(c1)C,,,
D00293,C1(=NCC(=O)N(c2c1cc(cc2)Cl)C)c1ccccc1,,,
D00294,c12c(ccc(c1)Cl)N=C(NS2(=O)=O)C,,,
D00298,O([C@@H]1C[C@@H]2[C@](CC1)([C@@H]1[C@@H](CC2)[C@@]2([C@@]([C@@H](C1)O)(C)[C@H](CC2)C1=CC(=O)OC1)O)C)[C@@H]1O[C@@H]([C@H]([C@H](C1)O)O[C@@H]1O[C@@H]([C@H]([C@H](C1)O)O[C@@H]1O[C@@H]([C@H]([C@H](C1)O)O)C)C)C,,,
D00300,C(c1ccccc1)(c1ccccc1)OCCN(C)C,,,
D00315,c12CCOC(c1[nH]c1c2cccc1CC)(CC(=O)O)CC,,,
D00317,c12c(ncn1CCC(COC(=O)C)COC(=O)C)cnc(n2)N,,,
D00322,c1(C(Cn2cncn2)(Cn2cncn2)O)c(cc(cc1)F)F,,,
D00324,O.C1=C[C@]2(C(=CC1=O)[C@H](C[C@@H]1[C@@H]2[C@H](C[C@]2([C@H]1C[C@@H]1[C@@]2(C(=O)CO)OC(O1)(C)C)C)O)F)C.C1=C[C@]2(C(=CC1=O)[C@H](C[C@@H]1[C@@H]2[C@H](C[C@]2([C@H]1C[C@@H]1[C@]2(OC(O1)(C)C)C(=O)CO)C)O)F)C,,,
D00325,C1=C[C@]2(C(=CC1=O)[C@H](C[C@@H]1[C@@]2([C@H](C[C@]2([C@H]1C[C@@H]1[C@@]2(C(=O)COC(=O)C)OC(O1)(C)C)C)O)F)F)C,,,
D00328,[C@@]12([C@@]3([C@@H](C[C@H]1OC(O2)(C)C)[C@H]1[C@H]([C@H](C3)O)[C@@]2(C(=CC(=O)CC2)[C@H](C1)F)C)C)C(=O)CO,,,
D00330,c1c(cccc1)c1c(cc(cc1)C(C(=O)O)C)F,,,
D00332,C(=O)(O)CC1(CN)CCCCC1,,,
D00333,n1(c2c(nc1)c(=O)[nH]c(n2)N)COC(CO)CO,,,
D00340,c12c(cc(c(c1)S(=O)(=O)N)Cl)NCNS2(=O)=O,,,
D00342,[C@H]1(O[C@@H]([C@H](C1)O)CO)n1cc(c(=O)[nH]c1=O)I,,,
D00359,[C@H]12[C@@H](OC(=O)[C@H](CC)C)C[C@H](C=C1C=C[C@@H]([C@@H]2CC[C@H]1OC(=O)C[C@@H](C1)O)C)C,,,
D00362,N1([C@@H](CCC1)C(=O)O)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(=O)O)CCCCN.O.O,,,
D00364,C1c2c(C(=C3CCN(CC3)C(=O)OCC)c3c(C1)cccn3)ccc(c2)Cl,,,
D00369,c1(N(CCCl)CCCl)ccc(cc1)C[C@@H](C(=O)O)N,,,
D00371,c12c(n(c(=O)n(c1=O)C)C)nc[nH]2,,,
D00377,c1(cc(c(cc1)O)C(=O)O)N,,,
D00380,c1(S(=O)(=O)NC(=O)NCCCC)ccc(cc1)C,,,
D00383,N1([C@@H]2[C@@H](C[C@H]1C(=O)O)CCCC2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(=O)OCC)C,,,
D00387,C1(=NCc2n(-c3c1cc(cc3)Cl)c(nn2)C)c1ccccc1Cl,,,
D00391,[C@@H]1(C[C@@H](O[C@@H]1CO)n1cc(c(=O)[nH]c1=O)C(F)(F)F)O,,,
D00394,C1c2c(N(c3c(C1)cccc3)CC(CN(C)C)C)cccc2,,,
D00398,Cl.n1(c2c(nc1)c(=O)[nH]c(n2)N)COCCOC(=O)[C@H](C(C)C)N,,,
D00401,c1(=S)n(cc[nH]1)C,,,
D00410,c1ncc(cc1)C(=O)C(c1cccnc1)(C)C,,,
D00414,c1(C(N(C(=O)N)O)C)cc2c(s1)cccc2,,,
D00416,c1(cc(c(cc1)COC(Cn1cncc1)c1c(cc(cc1)Cl)Cl)Cl)Cl,,,
D00417,c1(c2ccncc2)cc(c(=O)[nH]c1C)C#N,,,
D00418,c1(N2CCCCC2)cc([n+](c(n1)N)[O-])N,,,
D00421,N1([C@@H]2[C@H](C[C@H]1C(=O)O)CCC2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(=O)OCC)C,,,
D00423,n1(nc(nc1)C(=O)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)CO,,,
D00425,c12c(cc(cc2)OC)ccc(c1)CCC(=O)C,,,
D00434,[C@H]12[C@@H](OC(=O)C(CC)(C)C)C[C@H](C=C1C=C[C@@H]([C@@H]2CC[C@H]1OC(=O)C[C@@H](C1)O)C)C,,,
D00437,C1(c2c(cccc2)[N+](=O)[O-])C(=C(NC(=C1C(=O)OC)C)C)C(=O)OC,,,
D00448,c1(S(=O)(=O)Nc2ccccn2)ccc(cc1)/N=N/c1cc(c(cc1)O)C(=O)O,,,
D00449,C1(C(=O)N(N(C1=O)c1ccccc1)c1ccccc1)CCS(=O)c1ccccc1,,,
D00451,c12c([nH]cc1CCN(C)C)ccc(c2)CS(=O)(=O)NC,,,
D00452,c1(C(=O)c2cccs2)ccc(cc1)C(C(=O)O)C,,,
D00454,C1(=Nc2c(Nc3c1cc(s3)C)cccc2)N1CCN(CC1)C,,,
D00455,c1c(cc2c(c1)[nH]c(n2)S(=O)Cc1c(c(c(cn1)C)OC)C)OC,,,
D00459,C1c2c(C[C@H](N1C(=O)[C@@H](N[C@H](C(=O)OCC)CCc1ccccc1)C)C(=O)O)cccc2.Cl,,,
D00463,c1(CCC(=O)O)nc(c(o1)c1ccccc1)c1ccccc1,,,
D00475,c1(S(=O)(=O)N(CCC)CCC)ccc(cc1)C(=O)O,,,
D00487,c1(OC(=O)N(C)C)c[n+](ccc1)C.[Br-],,,
D00488,c1(c2ccc(cc2)Cl)c(nc(nc1N)N)CC,,,
D00494,N1(c2c(Sc3c1cccc3)cccc2)CC(N(C)C)C,,,
D00496,C(=O)([C@@H](C(S)(C)C)N)O,,,
D00501,c12c(n(c(=O)n(c1=O)CCCCC(=O)C)C)ncn2C,,,
D00503,c1ccc2c(c1)N(c1c(S2)ccc(c1)Cl)CCCN1CCN(CC1)CCO,,,
D00505,c1(ccccc1)CCNN.S(=O)(=O)(O)O,,,
D00510,C1(CCCC)C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,,,
D00512,C1(NC(=NC1=O)O)(c1ccccc1)c1ccccc1,,,
D00513,c12c([nH]cc2)cccc1OCC(CNC(C)C)O,,,
D00515,C(CO[N+](=O)[O-])(CO[N+](=O)[O-])O[N+](=O)[O-],,,
D00516,[C@@H]12[C@@H]([C@H](CO1)O[N+](=O)[O-])OC[C@H]2O[N+](=O)[O-],,,
D00518,c1(cc(c(c(c1)S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,,,
D00519,c12c(cc(c(c1)S(=O)(=O)N)Cl)N=CNS2(=O)=O,,,
D00521,c1cccc(c1)C(c1ccccc1)(C1CCN(CC1)CCCC(c1ccc(cc1)C(C)(C)C)O)O,,,
D00528,c12c(n(c(=O)n(c1=O)C)C)ncn2C,,,
D00530,n12c(c3cc(N(C(=O)C)CC)ccc3)ccnc1c(cn2)C#N,,,
D00533,C1(=O)c2c(N(c3c(C1)cccc3)C(=O)N)cccc2,,,
D00535,C(CCC(=O)O)(N)C=C,,,
D00536,C(c1ccccc1)(COC(=O)N)COC(=O)N,,,
D00537,[C@]12([C@H]([C@H]3[C@@H](CO2)OC(O3)(C)C)OC(O1)(C)C)COS(=O)(=O)N,,,
D00538,c12c(noc1cccc2)CS(=O)(=O)N,,,
D00542,C(C(Cl)Br)(F)(F)F,,,
D00543,C(C(F)Cl)(OC(F)F)(F)F,,,
D00544,C(C(Cl)Cl)(OC)(F)F,,,
D00545,C(C(OC(F)F)Cl)(F)(F)F,,,
D00546,C(C(OC(F)F)F)(F)(F)F,,,
D00547,C(C(F)(F)F)(C(F)(F)F)OCF,,,
D00549,c1(c(c(C(C)C)ccc1)O)C(C)C,,,
D00550,C1(=NCc2n(-c3c1cc(cc3)Cl)c(nc2)C)c1ccccc1F,,,
D00560,c1c(ccc(c1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1cccc2)F,,,
D00562,c1(cc(=O)[nH]c(=S)[nH]1)CCC,,,
D00563,C12N(c3c(Cc4c1cccc4)cccn3)CCN(C2)C,,,
D00566,c1(c(cccc1)O)C(=O)[O-].[Na+],,,
D00567,c1(C(F)(F)F)nn(c(c1)c1ccc(cc1)C)c1ccc(cc1)S(=O)(=O)N,,,
D00568,O1CC(=C(C1=O)c1ccccc1)c1ccc(cc1)S(=O)(=O)C,,,
D00569,c1(ccc(cc1)OCC)NC(=O)C,,,
D00574,C1(c2ccc(cc2)N)(C(=O)NC(=O)CC1)CC,,,
D00577,C(=C(\c1ccc(cc1)O)/CC)(/c1ccc(cc1)O)\CC,,,
D00579,[Na+].[Na+].[Na+].P(=O)(C(=O)[O-])([O-])[O-],,,
D00584,c1(=O)c(c[nH]c(=O)[nH]1)F,,,
D00593,N1(C(=O)C(=C(C1)C)CC)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCC(CC1)C,,,
D00596,C1(Cc2ccc(cc2)OCCN(c2ccccn2)C)SC(=O)NC1=O.C(=O)(/C=C\C(=O)O)O,,,
D00620,C1c2c(N(C(=O)[C@H](C1)N[C@@H](CCc1ccccc1)C(=O)OCC)CC(=O)O)cccc2.Cl,,,
D00621,N1(CCC[C@H]1C(=O)O)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(=O)OCC)C.C(=C\C(=O)O)\C(=O)O,,,
D00622,c1cccc(c1)CCCCP(=O)(CC(=O)N1C[C@@H](C[C@H]1C(=O)[O-])C1CCCCC1)O[C@H](OC(=O)CC)C(C)C.[Na+],,,
D00623,c12c(C[C@H](N(C1)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(=O)OCC)C)C(=O)O)cc(c(c2)OC)OC.Cl,,,
D00624,N1([C@@H]2[C@H](C[C@H]1C(=O)O)CCCC2)C(=O)[C@@H](N[C@H](C(=O)OCC)CCC)C.C(C)(C)(C)N,,,
D00625,N1([C@@H]([C@H]([C@@H]([C@H](C1)O)O)O)CO)CCO,,,
D00630,[C@@H]12[C@@H]([C@H](CO1)O)OC[C@H]2O[N+](=O)[O-],,,
D00650,c12c(cc(c(c1)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)NC(N2)Cc1ccccc1,,,
D00651,c12c(cc(c(c2)Cl)S(=O)(=O)N)S(=O)(=O)NC(=N1)CSCc1ccccc1,,,
D00652,c12c([C@H](CN(S1(=O)=O)CCCOC)NCC)cc(s2)S(=O)(=O)N,,,
D00653,c12c([C@H](C[C@@H](S1(=O)=O)C)NCC)cc(s2)S(=O)(=O)N.Cl,,,
D00654,c12c(cc(c(c1)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)NCN2,,,
D00655,c\1(=N\C(=O)C)/sc(nn1C)S(=O)(=O)N,,,
D00656,c12c(cc(c(c2)Cl)S(=O)(=O)N)S(=O)(=O)N(C(N1)CCl)C,,,
D00658,c12c(NC(NS2(=O)=O)C(Cl)Cl)cc(c(c1)S(=O)(=O)N)Cl,,,
D00667,c1(cc(ccc1)[N+](C)(C)C)OC(=O)N(CCCCCCCCCCN(C(=O)Oc1cc(ccc1)[N+](C)(C)C)C)C.[Br-].[Br-],,,
D00670,Cl.c1(ccccc1)CN1CCC(CC1)CC1C(=O)c2c(C1)cc(c(c2)OC)OC,,,
D00691,c12c(n(c(=O)n(c2=O)C)C)ncn1CC(CO)O,,,
D00703,C1(OC(=O)N)(CCCCC1)C#C,,,
D00709,N1([C@H](C(=O)N)CC)C(=O)CCC1,,,
D00726,c1(c(cc(c(c1)Cl)N)OC)C(=O)NCCN(CC)CC,,,
D00733,c1ccc2c(c1)c(cc(n2)OCCCC)C(=O)NCCN(CC)CC,,,
D00749,c1(C(=O)Nc2ccc(cc2)C(F)(F)F)c(onc1)C,,,
D00752,c12c(c(c(c(c1C)OC)C/C=C(/CCC(=O)OCCN1CCOCC1)\C)O)C(=O)OC2,,,
D00753,N12[C@H](C(=O)O[C@H]([C@@H](C[C@H]3C[C@H]([C@@H](CC3)O)OC)C)CC(=O)[C@@H](/C=C(/[C@H]([C@H](C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@H]3O[C@@](C(=O)C1=O)([C@@H](CC3)C)O)OC)\C)C)C)OC)O)\C)C)CCCC2,,,
D00762,[C@@](C(=O)O)(Cc1ccc(cc1)O)(C)N,,,
D00771,c12c(nc(o1)O)cc(cc2)Cl,,,
D00781,c1(cc(c(c(c1)O)O)[N+](=O)[O-])/C=C(/C(=O)N(CC)CC)\C#N,,,
D00785,c1(C[C@H](N(CC#C)C)C)ccccc1.Cl,,,
D00786,c1c(ccc(c1)C(=O)c1cc(c(c(c1)[N+](=O)[O-])O)O)C,,,
D00805,C(P(=O)(OC)OC)(C(Cl)(Cl)Cl)O,,,
D00810,c1(c(cccc1)O)C(=O)[O-].C[N+](CCO)(C)C,,,
D00813,n12c(C(CC2)C(=O)O)ccc1C(=O)c1ccccc1.C(CO)(CO)(CO)N,,,
D00826,C1(c2ccccc2)[C@@H](C1)N.S(=O)(=O)(O)O.C1(c2ccccc2)[C@H](N)C1,,,
D00827,c1(C(=O)O[Mg]OC(=O)c2c(cccc2)O)c(cccc1)O.O.O.O.O,,,
D00829,C(CCCN)(C(=O)O)(C(F)F)N.O.Cl,,,
D00882,[N+](=O)(O)[O-].c1(cc(c(cc1)COC(Cn1cncc1)c1c(cc(cc1)Cl)Cl)Cl)Cl,,,
D00884,[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)N)O)C)O[C@@H]1C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@@H]2[C@@H](/C=C/C(=O)O[C@@H](C/C=C/C=C/C=C/C=C/1)C)O2)O)O)O)C(=O)O,,,
D00885,C(=N\OCc1c(cc(cc1)Cl)Cl)(/c1c(cc(cc1)Cl)Cl)\Cn1ccnc1.[N+](=O)([O-])O,,,
D00887,c1(c(c(n(c1c1ccc(cc1)F)CC[C@@H](O)C[C@H](CC(=O)[O-])O)C(C)C)C(=O)Nc1ccccc1)c1ccccc1.[Ca+2].c1(c(c(n(c1c1ccc(cc1)F)CC[C@@H](O)C[C@H](CC(=O)[O-])O)C(C)C)C(=O)Nc1ccccc1)c1ccccc1,,,
D00889,c1(c(c(nc(c1COC)C(C)C)C(C)C)/C=C/[C@H](C[C@H](CC(=O)[O-])O)O)c1ccc(cc1)F.[Na+],,,
D00892,[Na+].c1(ccc(cc1)c1c2c(n(c1/C=C/[C@@H](C[C@@H](CC(=O)[O-])O)O)C(C)C)cccc2)F,,,
D00893,[C@H]12[C@H]([C@H](C=CC2=C[C@H](C[C@@H]1OC(=O)[C@H](CC)C)O)C)CC[C@H](C[C@H](CC(=O)[O-])O)O.[Na+],,,
D00900,P(=O)(O)(O)O.C1[C@@H]([C@H]([C@@H](C=C1C(=O)OCC)OC(CC)CC)NC(=O)C)N,,,
D00902,C1=C(O[C@H]([C@@H]([C@H]1NC(=N)N)NC(=O)C)[C@@H]([C@@H](CO)O)O)C(=O)O,,,
D00903,[K+].c1cccc(c1Nc1c(cccc1Cl)Cl)CC(=O)[O-],,,
D00904,[Na+].c1cccc(c1Nc1c(cccc1Cl)Cl)CC(=O)[O-],,,
D00947,c1c(c(cc(c1)N1C[C@@H](OC1=O)CNC(=O)C)F)N1CCOCC1,,,
D00960,c1c(cc(cc1Cn1ncnc1)C(C#N)(C)C)C(C#N)(C)C,,,
D00963,C1=C[C@]2(C(=CC1=O)C(=C)C[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C,,,
D00964,C(c1ccc(cc1)C#N)(c1ccc(cc1)C#N)n1cncn1,,,
D00965,N1(c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-])C(=O)C(NC1=O)(C)C,,,
D00968,[Ca+2].O.c1cccc(c1)Oc1cc(ccc1)C(C(=O)[O-])C.O.c1cccc(c1)Oc1cc(ccc1)C(C(=O)[O-])C,,,
D00969,c12c(S(=O)(=O)N(C(=C1O)C(=O)Nc1ncc(s1)C)C)cccc2,,,
D00970,c12c(cc(cc2)OC)ccc(c1)[C@@H](C(=O)[O-])C.[Na+],,,
D00994,[Cl-].c1(cccc(c1)[N+](CC)(C)C)O,,,
D00995,c1(cc(ccc1)[N+](C)(C)C)OC(=O)N(C)C.[Br-],,,
D00998,c1(cc(ccc1)[N+](C)(C)C)OC(=O)N(C)C.S(=O)(=O)(OC)[O-],,,
D01001,[Cl-].[Cl-].[N+](Cc1c(cccc1)Cl)(CCNC(=O)C(=O)NCC[N+](Cc1c(cccc1)Cl)(CC)CC)(CC)CC,,,
D01027,C12[C@]3([C@]([C@@H](C(=N3)/C(=C\3/[C@]([C@@H](C(=N3)/C=C/3\N=C(/C(=C(\N2[Co]O)/[C@@]([C@H]1CC(=O)N)(CCC(=O)NC[C@@H](OP(=O)(O[C@@H]1[C@H](O[C@@H]([C@@H]1O)n1c2c(nc1)cc(c(c2)C)C)CO)[O-])C)C)/C)[C@H](C3(C)C)CCC(=O)N)CCC(=O)N)(CC(=O)N)C)/C)CCC(=O)N)(CC(=O)N)C)C,,,
D01061,Cl.O.c1(ccc2c(c1)c(c1c(-c3n(C1)c(=O)c1c(c3)[C@](C(=O)OC1)(CC)O)n2)CC)OC(=O)N1CCC(CC1)N1CCCCC1.O.O,,,
D01064,s1c(ccc1N(Cc1cc2c(cc1)nc([nH]c2=O)C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)O,,,
D01069,C1N2N(C(=O)[C@H](CC1)N[C@H](C(=O)OCC)CCc1ccccc1)[C@@H](CCC2)C(=O)O.O,,,
D01071,C1CCC=C(C1)C1(C(=O)NC(=O)N(C1=O)C)C,,,
D01097,c1c(ccc(n1)C(=O)NCCN)Cl.Cl,,,
D01118,c1ccc2c(c1)N(c1c(S2)cccc1)CC(C)N(CC)CC.Cl,,,
D01119,s1cccc1[C@H]1SC[C@H](N[C@@H](CCc2ccccc2)C(=O)OCC)C(=O)N(C1)CC(=O)O.Cl,,,
D01122,c1c(nccc1)COC(=O)C(c1ccc(cc1)CC(C)C)C,,,
D01133,c1c(ccc2c1nc([nH]2)c1ccc(cc1)OC)C1=NNC(=O)CC1C,,,
D01136,C1C[C@H](CCC1C(=O)O)CN,,,
D01164,c1(ccc2c(c1)NC(=O)CC2)OCCCCN1CCN(CC1)c1c(c(ccc1)Cl)Cl,,,
D01180,C1(=C([C@@H]2[C@]3([C@](C1)([C@@H]1[C@@H](CC3)[C@H]3[C@](CC1)([C@H](CC3)O)C)C)O2)O)C#N,,,
